徐州,#genre#
徐州1,http://ott.mobaibox.com/PLTV/3/224/3221225945/index.m3u8?
徐州2,http://ott.mobaibox.com/PLTV/3/224/3221225947/index.m3u8?
徐州3,http://ott.mobaibox.com/PLTV/3/224/3221225949/index.m3u8?
徐州4,http://ott.mobaibox.com/PLTV/3/224/3221225951/index.m3u8?

央视,#genre#
CCTV1综合,http://ott.mobaibox.com/PLTV/3/224/3221225530/index.m3u8?&#http://ott.mobaibox.com/PLTV/3/224/3221227005/index.m3u8?
CCTV2财经,http://ott.mobaibox.com/PLTV/3/224/3221226993/index.m3u8?&#http://ott.mobaibox.com/PLTV/3/224/3221227207/index.m3u8?
CCTV3综艺,http://ott.mobaibox.com/PLTV/3/224/3221225588/index.m3u8?&#http://ott.mobaibox.com/PLTV/3/224/3221227295/index.m3u8?
CCTV4中文国际,http://ott.mobaibox.com/PLTV/3/224/3221225534/index.m3u8?&#http://ott.mobaibox.com/PLTV/3/224/3221227378/index.m3u8?
CCTV5体育,http://ott.mobaibox.com/PLTV/3/224/3221227166/index.m3u8?&#http://ott.mobaibox.com/PLTV/3/224/3221227298/index.m3u8?
CCTV5+体育赛事,http://ott.mobaibox.com/PLTV/3/224/3221225604/index.m3u8?&#http://ott.mobaibox.com/PLTV/3/224/3221227381/index.m3u8?
CCTV6电影,http://ott.mobaibox.com/PLTV/3/224/3221225548/index.m3u8?&#http://ott.mobaibox.com/PLTV/3/224/3221227209/index.m3u8?
CCTV7国防军事,http://ott.mobaibox.com/PLTV/3/224/3221225546/index.m3u8?&#http://ott.mobaibox.com/PLTV/3/224/3221227314/index.m3u8?
CCTV8电视剧,http://ott.mobaibox.com/PLTV/3/224/3221227205/index.m3u8?&#http://ott.mobaibox.com/PLTV/3/224/3221227304/index.m3u8?
CCTV9记录,http://ott.mobaibox.com/PLTV/3/224/3221225532/index.m3u8?&#http://ott.mobaibox.com/PLTV/3/224/3221225868/index.m3u8?
CCTV10科教,http://ott.mobaibox.com/PLTV/3/224/3221225550/index.m3u8?&#http://ott.mobaibox.com/PLTV/3/224/3221227317/index.m3u8?
CCTV11戏曲,http://ott.mobaibox.com/PLTV/3/224/3221227384/index.m3u8?
CCTV12社会与法,http://ott.mobaibox.com/PLTV/3/224/3221225556/index.m3u8?
CCTV13新闻,http://ott.mobaibox.com/PLTV/3/224/3221225560/index.m3u8?&#http://ott.mobaibox.com/PLTV/3/224/3221227387/index.m3u8?
CCTV14少儿,http://ott.mobaibox.com/PLTV/3/224/3221227201/index.m3u8?
CCTV15音乐,http://ott.mobaibox.com/PLTV/3/224/3221225817/index.m3u8?
CCTV16奥林匹克,http://[2409:8087:2001:20:2800:0:df6e:eb04]/ott.mobaibox.com/PLTV/3/224/3221228112/index.m3u8
CTV17农业[1920*1080],http://ott.mobaibox.com/PLTV/3/224/3221227578/index.m3u8?
CCTV兵器科技-8M,http://[2409:8087:2001:20:2800:0:df6e:eb22]/ott.mobaibox.com/PLTV/3/224/3221228686/index.m3u8
CCTV风云剧场-8M,http://[2409:8087:2001:20:2800:0:df6e:eb20]/ott.mobaibox.com/PLTV/3/224/3221228662/index.m3u8
CCTV第一剧场-8M,http://[2409:8087:2001:20:2800:0:df6e:eb21]/ott.mobaibox.com/PLTV/3/224/3221228659/index.m3u8
CCTV央视文化精品-8M,http://[2409:8087:2001:20:2800:0:df6e:eb20]/ott.mobaibox.com/PLTV/3/224/3221228677/index.m3u8
CCTV世界地理-8M,http://[2409:8087:2001:20:2800:0:df6e:eb09]/ott.mobaibox.com/PLTV/3/224/3221228680/index.m3u8

卫视,#genre#
江苏卫视,http://ott.mobaibox.com/PLTV/3/224/3221227031/index.m3u8?&#http://ott.mobaibox.com/PLTV/3/224/3221227037/index.m3u8?
江西卫视,http://ott.mobaibox.com/PLTV/3/224/3221225536/index.m3u8?&#http://ott.mobaibox.com/PLTV/3/224/3221225798/index.m3u8? 
安徽卫视,http://ott.mobaibox.com/PLTV/3/224/3221225634/index.m3u8?&#http://ott.mobaibox.com/PLTV/3/224/3221225800/index.m3u8?
青海卫视,http://ott.mobaibox.com/PLTV/3/224/3221225783/index.m3u8?
山西卫视,http://ott.mobaibox.com/PLTV/3/224/3221225786/index.m3u8?
贵州卫视,http://ott.mobaibox.com/PLTV/3/224/3221225787/index.m3u8?
广西卫视,http://ott.mobaibox.com/PLTV/3/224/3221225806/index.m3u8?
天津卫视,http://ott.mobaibox.com/PLTV/3/224/3221225808/index.m3u8?&#http://ott.mobaibox.com/PLTV/3/224/3221227212/index.m3u8?
海南卫视,http://ott.mobaibox.com/PLTV/3/224/3221225810/index.m3u8?
重庆卫视,http://ott.mobaibox.com/PLTV/3/224/3221225812/index.m3u8?
河南卫视,http://ott.mobaibox.com/PLTV/3/224/3221225815/index.m3u8?
四川卫视,http://ott.mobaibox.com/PLTV/3/224/3221225814/index.m3u8?
东南卫视,http://ott.mobaibox.com/PLTV/3/224/3221225816/index.m3u8?
内蒙古卫视,http://ott.mobaibox.com/PLTV/3/224/3221225836/index.m3u8?
云南卫视,http://ott.mobaibox.com/PLTV/3/224/3221225838/index.m3u8?
新疆卫视,http://ott.mobaibox.com/PLTV/3/224/3221225844/index.m3u8?
河北卫视,http://ott.mobaibox.com/PLTV/3/224/3221225840/index.m3u8?
宁夏卫视,http://ott.mobaibox.com/PLTV/3/224/3221225842/index.m3u8?
甘肃卫视,http://ott.mobaibox.com/PLTV/3/224/3221225846/index.m3u8?
湖北卫视,http://ott.mobaibox.com/PLTV/3/224/3221225877/index.m3u8?&#http://ott.mobaibox.com/PLTV/3/224/3221227211/index.m3u8?
吉林卫视,http://ott.mobaibox.com/PLTV/3/224/3221225883/index.m3u8?
西藏卫视,http://ott.mobaibox.com/PLTV/3/224/3221226376/index.m3u8?
厦门卫视,http://ott.mobaibox.com/PLTV/3/224/3221226996/index.m3u8?
安多卫视,http://ott.mobaibox.com/PLTV/3/224/3221226999/index.m3u8?
延边卫视,http://ott.mobaibox.com/PLTV/3/224/3221227002/index.m3u8?
康巴卫视,http://ott.mobaibox.com/PLTV/3/224/3221227008/index.m3u8?
农林卫视,http://ott.mobaibox.com/PLTV/3/224/3221227015/index.m3u8?
陕西卫视,http://ott.mobaibox.com/PLTV/3/224/3221227022/index.m3u8?
上海卫视,http://ott.mobaibox.com/PLTV/3/224/3221227208/index.m3u8?&#http://ott.mobaibox.com/PLTV/3/224/3221227396/index.m3u8?
浙江卫视,http://ott.mobaibox.com/PLTV/3/224/3221227215/index.m3u8?&#http://ott.mobaibox.com/PLTV/3/224/3221227393/index.m3u8?
深圳卫视,http://ott.mobaibox.com/PLTV/3/224/3221227217/index.m3u8?&#http://ott.mobaibox.com/PLTV/3/224/3221227307/index.m3u8
湖南卫视,http://ott.mobaibox.com/PLTV/3/224/3221227220/index.m3u8?&#http://ott.mobaibox.com/PLTV/3/224/3221227320/index.m3u8?
北京卫视,http://ott.mobaibox.com/PLTV/3/224/3221227246/index.m3u8?&#http://ott.mobaibox.com/PLTV/3/224/3221227390/index.m3u8?
黑龙江,http://ott.mobaibox.com/PLTV/3/224/3221227252/index.m3u8?&#http://ott.mobaibox.com/PLTV/3/224/3221227323/index.m3u8?
广东卫视,http://ott.mobaibox.com/PLTV/3/224/3221227249/index.m3u8?&#http://ott.mobaibox.com/PLTV/3/224/3221227399/index.m3u8?
安徽卫视,http://ott.mobaibox.com/PLTV/3/224/3221227498/index.m3u8?
山东卫视,http://ott.mobaibox.com/PLTV/3/224/3221227258/index.m3u8?&#http://ott.mobaibox.com/PLTV/3/224/3221227310/index.m3u8?
河北卫视[1920*1080],http://ott.mobaibox.com/PLTV/3/224/3221227545/index.m3u8?
辽宁卫视,http://ott.mobaibox.com/PLTV/3/224/3221225566/index.m3u8?&#http://ott.mobaibox.com/PLTV/3/224/3221225802/index.m3u8?

江苏南京,#genre#
江苏教育,http://ott.mobaibox.com/PLTV/3/224/3221225923/index.m3u8?
江苏新闻,http://ott.mobaibox.com/PLTV/3/224/3221225925/index.m3u8?
江苏城市,http://ott.mobaibox.com/PLTV/3/224/3221225929/index.m3u8?
江苏综艺,http://ott.mobaibox.com/PLTV/3/224/3221225931/index.m3u8?
江苏体育,http://ott.mobaibox.com/PLTV/3/224/3221225935/index.m3u8?
NBS十八生活,http://ott.mobaibox.com/PLTV/3/224/3221227178/index.m3u8?
NBS南京教科,http://ott.mobaibox.com/PLTV/3/224/3221227194/index.m3u8?
NBS新闻综合,http://ott.mobaibox.com/PLTV/3/224/3221227213/index.m3u8?

其他,#genre#
黑莓电影,http://ott.mobaibox.com/PLTV/3/224/3221225567/index.m3u8?
中华美食,http://ott.mobaibox.com/PLTV/3/224/3221227017/index.m3u8?
惊悚悬疑,http://ott.mobaibox.com/PLTV/3/224/3221227536/index.m3u8?
金牌综艺[1920*1080],http://ott.mobaibox.com/PLTV/3/224/3221227541/index.m3u8?
古装剧场[1920*1080],http://ott.mobaibox.com/PLTV/3/224/3221227542/index.m3u8?
军事评论[1920*1080],http://ott.mobaibox.com/PLTV/3/224/3221227544/index.m3u8?
精品记录[1920*1080],http://ott.mobaibox.com/PLTV/3/224/3221227547/index.m3u8?
爱情喜剧[1920*1080],http://ott.mobaibox.com/PLTV/3/224/3221227548/index.m3u8?
家庭剧场[1920*1080],http://ott.mobaibox.com/PLTV/3/224/3221227600/index.m3u8?
